id,title,stockCode,memberType,kfifUrl
5955,ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.,ALTNY,IGS,https://www.kap.org.tr/tr/kfif/8acae2c58b2fa64e018f3d2d712476e2
5966,ALTINKILIÇ GIDA VE SÜT SANAYİ TİCARET A.Ş.,ALKLC,IGS,https://www.kap.org.tr/tr/kfif/8acae2c48c3efac0018fabe7ce965048
853,ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,ALMAD,IGS,https://www.kap.org.tr/tr/kfif/4028e4a14158e41f01415a8ea74c4fbe
2865,ALTINYILDIZ TEKSTİL VE KONFEKSİYON A.Ş.,ALTYZ,IGMS,
5935,ALVES KABLO SANAYİ VE TİCARET A.Ş.,ALVES,IGS,https://www.kap.org.tr/tr/kfif/8acae2c58b2fa64e018dc0263b1377aa
856,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,ANSGR,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140e95bea0140ed21b5c10078
858,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,AEFES,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140e95bea0140ed2fde10009d
860,ANADOLU HAYAT EMEKLİLİK A.Ş.,ANHYT,"FK, IGS",https://www.kap.org.tr/tr/kfif/4028e4a140e95be70140ed40cb930098
860,ANADOLU HAYAT EMEKLİLİK A.Ş.,ANHYT,"FK, IGS",
861,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,ASUZU,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140e95be70140ed43c4fe00a9
1263,ANADOLU YATIRIM MENKUL KIYMETLER A.Ş.,ADY,YK,
2010,ANADOLUBANK A.Ş.,ADB,YK,
85,ANALİZ BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,,BDK,
5424,ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.,ANGEN,IGS,https://www.kap.org.tr/tr/kfif/8acae2c47afb298b017bed9f037a7185
1475,ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.,ANELE,IGS,https://www.kap.org.tr/tr/kfif/4028e4a1416e696301416ecd11a12b86
199,ANIL YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.,,BDK,
5757,ANY PARTNERS BAĞIMSIZ DENETİM A.Ş.,,BDK,
4967,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,ARDYZ,IGS,https://www.kap.org.tr/tr/kfif/8acae2c46d7599a6016dde9d93aa2b52
864,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,ARENA,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140e95bea0140ed5af3a000da
5954,ARGEUS GAYRİMENKUL PORTFÖY YÖNETİMİ A.Ş.,RGE,"FK, PYS",
87,ARILAR BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,,BDK,
865,ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.,ARSAN,IGS,https://www.kap.org.tr/tr/kfif/4028e4a14158e41f01415b1862696142
5595,ARSEN BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.,,BDK,
